2026/09/17 19:06:04.988, 45, 3.50 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:07.058, 45, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:09.125, 45, 3.65 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:11.195, 46, 3.66 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:13.262, 46, 3.56 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:15.334, 46, 3.50 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:17.400, 46, 3.65 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:19.468, 46, 3.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:21.541, 46, 3.71 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:23.611, 46, 3.84 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:25.677, 45, 3.72 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:27.752, 46, 3.66 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:29.820, 45, 3.68 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:31.889, 46, 3.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:33.956, 46, 3.68 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:36.031, 46, 3.76 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:38.110, 46, 3.55 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:40.180, 46, 3.46 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:42.247, 46, 3.55 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:44.316, 46, 3.57 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:46.384, 46, 3.53 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:48.454, 46, 3.61 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:50.524, 46, 3.80 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:52.593, 46, 3.76 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:54.659, 46, 3.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:56.729, 46, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:06:58.795, 46, 3.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:00.864, 45, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:02.939, 45, 3.66 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:05.012, 45, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:07.087, 45, 3.83 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:09.161, 45, 3.65 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:11.228, 45, 3.50 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:13.298, 45, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:15.364, 45, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:17.433, 46, 22.19 W, 11 %, 3878 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:07:19.473, 47, 30.00 W, 14 %, 103 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:07:21.507, 45, 7.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:23.587, 45, 3.77 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:25.656, 45, 3.77 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:27.723, 46, 26.81 W, 0 %, 3878 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:07:29.760, 48, 30.62 W, 17 %, 103 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:07:31.792, 45, 4.86 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:33.865, 45, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:35.933, 45, 3.50 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:38.002, 46, 28.52 W, 22 %, 3878 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:07:40.035, 48, 21.73 W, 7 %, 103 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:07:42.079, 45, 7.53 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:44.156, 45, 4.36 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:46.238, 45, 3.70 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:48.304, 45, 3.51 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:50.372, 44, 3.51 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:52.439, 44, 3.66 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:54.508, 44, 3.55 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:56.577, 44, 3.57 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:07:58.646, 44, 3.69 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:00.714, 44, 3.57 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:02.791, 44, 3.56 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:04.872, 44, 3.49 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:06.960, 44, 3.48 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:09.029, 44, 3.81 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:11.101, 44, 3.78 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:13.167, 44, 3.77 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:15.239, 44, 3.69 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:17.306, 43, 3.52 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
